#,Listing Title,SKU,LastUpdated,ExpiryDate,SEOTips,Age(Days),VisibilityScore,TotalViews,Views Per Day,TagCount,ImageCount
874,WEDDING INVITATION | Palm Tree | Fiesta Invitation (1315661259),gate/Palm Tree,2022-12-0610:45,2023-01-3003:26,1,92,9%,7,0.08,13,10
916,WEDDING INVITATION | Tropical | Fiesta Invitation (1315665159),PS gate/Tropical,2022-12-0610:46,2023-01-3003:39,1,92,9%,7,0.08,13,10
221,Foiled Save The Date | Fresh Florals | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1325220411),FSD/Fresh Florals,2022-12-0608:03,2023-02-1413:29,5,78,9%,6,0.08,13,10
227,Foiled Save The Date | October | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1325234517),FSD/October,2022-12-0607:39,2023-02-1413:50,5,78,9%,6,0.08,13,10
246,Foiled Save The Date | Whimsical | Save The Date Cards | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1325236977),FSD/Whimsical,2022-12-0607:30,2023-02-1413:53,5,78,9%,6,0.08,13,10
786,Wedding Envelopes | Grey | Printed Envelopes | | 5x7 Envelopes (1294614990),,2022-09-2003:08,2023-01-1913:51,3,103,9%,8,0.08,13,10
502,RSVP CARD | Blush Floral | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1343716637),PS rsvp/blushfloral,2022-12-1510:03,2023-03-1005:59,3,51,9%,4,0.08,13,10
508,Rsvp Card | Confetti | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1329741248),PS rsvp/confetti/env,2022-12-1510:00,2023-03-1006:01,4,51,9%,4,0.08,13,10
415,Modern Table Numbers | Cactus &amp; Succulents | Table Name Cards Wedding | Floral Table Numbers | Rustic Table Numbers | Modern Table Numbers (853609989),WOODENHOLDERS,2022-12-2517:10,2023-04-2516:10,5,871,9%,70,0.08,13,10
431,Modern Table Numbers | Winter Wedding | Table Name Cards Wedding | Rustic Table Numbers | Modern Table Numbers | Wedding Table Numbers (839695166),WOODENHOLDERS,2022-12-2412:30,2023-04-2411:30,6,871,9%,71,0.08,12,10
603,Seating Chart Cards | Burgundy Watercolour | Burgundy Wedding (1312362625),RM 1st Class,2022-12-3018:49,2023-04-3017:49,3,97,9%,8,0.08,13,10
618,Seating Chart Cards | Minimalist Coral | Summer Wedding | Table Seating Chart Cards | Alphabetical Seating Chart Cards (1298339710),RM 1st Class,2022-12-0710:22,2023-01-2505:26,3,97,9%,8,0.08,13,10
629,Seating Chart Cards | Simple Heart | Dusty Rose Wedding | Table Seating Chart Cards | Alphabetical Seating Chart Cards (1298337880),RM 1st Class,2022-12-0710:22,2023-01-2505:17,3,97,9%,8,0.08,13,10
631,Seating Chart Cards | Spring | Wildflower Wedding (1298333992),RM 1st Class,2022-12-0710:22,2023-01-2504:59,2,97,9%,8,0.08,13,10
703,Thank You Cards | Thank You For Making Our Venue Look Stunning | Wedding Cards | Custom Wedding Card | Wedding Cards (1323324336),WHITE,2022-11-1512:06,2023-03-0111:57,5,60,9%,5,0.08,13,10
309,"GOLD FOIL | Wedding Invitations | Blue Mountains | Blue Wedding Invitations, Dusty Blue Wedding Invitations, Blue Luxury Wedding Invitations (1329278861)",FSC/Blue Mountains,2022-12-1508:10,2023-02-2011:09,2,72,9%,6,0.08,13,10
318,"GOLD FOIL | Wedding Invitations | Daffodils | Wedding Invitations Gold Foil, Elegant Wedding Invitations, Custom Wedding Invitations (1329283489)",FSC/Daffodils,2022-12-1508:06,2023-02-2011:17,2,72,9%,6,0.08,13,10
96,Bridesmaid Cards | Thank You For Keeping Me Sane! | Thank You Cards | Custom Wedding Card | Wedding Cards (1337840141),WHITE,2022-11-1512:10,2023-03-0205:01,5,59,9%,5,0.08,13,10
258,Funny Wedding Card | Enjoy Putting Your Finger In Her Ring | Congratulations Card | Custom Wedding Card | Wedding Cards (1337857565),WHITE,2022-11-1511:32,2023-03-0205:51,5,59,9%,5,0.08,13,10
705,Thank You Cards | Thank You For Your Kind Gift | Wedding Cards | Custom Wedding Card | Wedding Cards (1337843561),WHITE + WS,2022-11-1512:14,2023-03-0205:12,5,59,9%,5,0.08,13,10
706,Thank You Cards | Thank You For Your Kind Words At Our Wedding | Wedding Cards | Custom Wedding Card | Wedding Cards (1323879164),WHITE,2022-11-1511:25,2023-03-0205:36,5,59,9%,5,0.08,13,10
721,Thank You Cards | You Are The Best Florist Ever | Wedding Cards | Custom Wedding Card | Wedding Cards (1337855665),WHITE,2022-11-1511:16,2023-03-0205:46,5,59,9%,5,0.08,13,10
723,Thank You Cards | You Are The Best Venue Stylist Ever | Wedding Cards | Custom Wedding Card | Wedding Cards (1323883746),WHITE,2022-11-1511:17,2023-03-0205:48,5,59,9%,5,0.08,13,10
34,"BAR MENU | Burgundy Flowers | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Signature Drinks (1331135253)",PRINT,2022-11-1516:57,2023-02-2304:55,3,69,9%,6,0.09,13,10
62,"BAR MENU | Succulents | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1331135029)",PRINT,2022-11-1516:48,2023-02-2304:55,3,69,9%,6,0.09,13,10
63,"BAR MENU | Sunflowers | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1317161888)",PRINT,2022-11-1516:47,2023-02-2304:48,3,69,9%,6,0.09,13,10
908,Wedding Invitation | Sunset Beach | Fiesta Invitation | Luxury Tropical Wedding Invitation | Wedding Invitation Tropical Mexico (1301635018),PS gate/Sunset Beach,2022-12-0610:45,2023-01-3003:31,5,92,9%,8,0.09,13,10
911,WEDDING INVITATION | Teal Watercolour | Celestial Wedding (1301770774),PS/singlecard/Teal Watercolour,2022-12-0607:40,2023-01-3009:34,2,92,9%,8,0.09,13,10
425,Modern Table Numbers | Rustic Wedding | Table Name Cards Wedding | Rustic Table Numbers | Modern Table Numbers | Wedding Table Numbers (853608751),WOODENHOLDERS,2022-12-2412:30,2023-04-2411:30,6,871,9%,76,0.09,12,10
1043,"WELCOME SIGN | Bunting | Modern Boho Wedding, Welcome Sign Unplugged Ceremony, Couples Shower Welcome Sign, Colorful Welcome Sign (1332465001)",A1 BOARD,2022-12-0710:22,2023-02-2505:13,3,67,9%,6,0.09,13,10
1057,"WELCOME SIGN | Minimalist Coral | Modern Boho Wedding, Welcome To Our Happily Ever After Sign, Simple Baby Shower Welcome Sign, Quinceanera (1332473765)",A1 BOARD,2022-12-0710:22,2023-02-2505:37,3,67,9%,6,0.09,13,10
209,Foiled Save The Date | Blue Details | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1325221393),FSD/Blue Details,2022-12-0607:46,2023-02-1413:31,5,78,9%,7,0.09,13,10
217,Foiled Save The Date | Eucalyptus | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1325224135),FSD/Eucalyptus,2022-12-0607:58,2023-02-1413:35,5,78,9%,7,0.09,13,10
218,Foiled Save The Date | Festoon | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1325219259),FSD/Festoon,2022-12-0607:57,2023-02-1413:27,5,78,9%,7,0.09,13,10
219,Foiled Save The Date | Fiery | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1311251824),FSD/Fiery,2022-12-0607:37,2023-02-1413:53,5,78,9%,7,0.09,13,10
222,Foiled Save The Date | Gold Birds | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1311231888),FSD/Gold Birds,2022-12-0608:14,2023-02-1413:23,5,78,9%,7,0.09,13,10
235,Foiled Save The Date | Rustic Floral | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1311237458),FSD/Rustic Floral,2022-12-0608:02,2023-02-1413:32,5,78,9%,7,0.09,13,10
244,Foiled Save The Date | Tis The Season | Save The Date Cards | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1325219865),FSD/Tis The Season,2022-12-0607:53,2023-02-1413:28,5,78,9%,7,0.09,13,10
426,Modern Table Numbers | Rustic Wedding | Table Name Cards Wedding | Rustic Table Numbers | Wedding Table Numbers (839694652),WOODENHOLDERS,2022-11-1508:50,2023-02-1010:19,6,871,9%,80,0.09,12,10
607,Seating Chart Cards | Classic Floral | Fall Wedding (1312367387),RM 1st Class,2022-12-0710:22,2023-01-2505:19,3,97,9%,9,0.09,13,10
619,Seating Chart Cards | Minimalist Plum | Lilac Wedding (1298334320),RM 1st Class,2022-12-0710:22,2023-01-2505:01,3,97,9%,9,0.09,13,10
626,Seating Chart Cards | Potpourri | Backyard Wedding (1298337696),RM 1st Class,2022-12-0710:22,2023-01-2505:16,2,97,9%,9,0.09,13,10
628,Seating Chart Cards | Rustic Floral | Rustic Wedding (1312363055),RM 1st Class,2022-12-0710:22,2023-01-2504:58,3,97,9%,9,0.09,13,10
141,DETAILS CARD | Beach | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328262044),GIC / beach,2022-12-1510:09,2023-03-0807:43,4,53,9%,5,0.09,13,10
156,DETAILS CARD | Chalkboard | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328248794),GIC / chalkboard,2022-12-1510:23,2023-03-0807:13,4,53,9%,5,0.09,13,10
160,DETAILS CARD | Dark Water | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328226152),GIC/darkwater,2022-12-1510:25,2023-03-0806:16,4,53,9%,5,0.09,13,10
169,DETAILS CARD | Monroe | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328236038),GIC / monroe,2022-12-1510:19,2023-03-0806:43,4,53,9%,5,0.09,13,10
186,DETAILS CARD | Wildflowers | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328225572),GIC/wildflowers,2022-12-1510:33,2023-03-0806:15,4,53,9%,5,0.09,13,10
187,DETAILS CARD | Winter | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328225408),GIC/winter,2022-12-1510:31,2023-03-0806:14,4,53,9%,5,0.09,13,10
668,TABLE NUMBERS | Blue Watercolour | Wedding Table Number | Table Number Wedding | Wedding Table Number Cards (1342987353),WOODENHOLDERS,2022-11-1509:00,2023-03-0906:42,5,52,9%,5,0.10,13,10
670,TABLE NUMBERS | Burgundy Watercolour | Wedding Table Number | Table Number Wedding | Wedding Table Number Cards (1329010444),WOODENHOLDERS,2022-11-1509:10,2023-03-0906:41,5,52,9%,5,0.10,13,10
671,TABLE NUMBERS | Daffodils | Wedding Table Number | Table Number Wedding | Wedding Table Number Cards (1329010284),WOODENHOLDERS,2022-11-1509:06,2023-03-0906:40,5,52,9%,5,0.10,13,10
679,TABLE NUMBERS | Pine | Wedding Table Number | Table Number Wedding | Wedding Table Number Cards (1329011740),WOODENHOLDERS,2022-11-1508:46,2023-03-0906:44,5,52,9%,5,0.10,13,10
680,TABLE NUMBERS | Pink Eucalyptus | Wedding Table Number | Table Number Wedding | Wedding Table Number Cards (1342989015),WOODENHOLDERS,2022-11-1509:03,2023-03-0906:46,5,52,9%,5,0.10,13,10
683,TABLE NUMBERS | Potpourri | Wedding Table Number | Table Number Wedding | Wedding Table Number Cards (1342985855),WOODENHOLDERS,2022-11-1509:02,2023-03-0906:38,5,52,9%,5,0.10,13,10
781,Wedding Envelopes | Blush | Printed Envelopes | 5x7 Envelopes (1294615492),,2022-09-2002:02,2023-01-1913:52,2,103,9%,10,0.10,13,10
306,"Gold Foil | Wedding Invitations | Autumn | Fall Wedding Invitations Printed, Fall Themed Wedding Invitations, Fall Wedding Invitations (1315305116)",FSC/Autumn,2022-12-1508:05,2023-02-2011:04,3,72,9%,7,0.10,13,10
313,"GOLD FOIL | Wedding Invitations | Blush Floral | Blush Wedding Invitations, Elegant Wedding Invitations, Custom Wedding Invitations (1315312298)",FSC/Blush Floral,2022-12-1508:13,2023-02-2011:16,2,72,9%,7,0.10,13,10
321,"GOLD FOIL | Wedding Invitations | Eucalyptus | Eucalyptus Wedding Invitations, Elegant Wedding Invitations, Custom Wedding Invitations (1329270483)",FSC/Eucalyptus,2022-12-1508:22,2023-02-2010:56,2,72,9%,7,0.10,13,10
498,RSVP CARD | Blue Floral | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1329739798),PS rsvp/bluefloral,2022-12-1510:03,2023-03-1005:57,3,51,9%,5,0.10,13,10
499,RSVP CARD | Blue Paint | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1343717659),PS rsvp/bluepaint,2022-12-1510:10,2023-03-1006:02,3,51,9%,5,0.10,13,10
507,RSVP CARD | Calligraphy | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1329738896),rsvp/callig,2022-12-1510:11,2023-03-1005:55,4,51,9%,5,0.10,13,10
509,RSVP CARD | Daffodils | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1343717793),PS rsvp/daffod,2022-12-1510:14,2023-03-1006:02,4,51,9%,5,0.10,13,10
538,RSVP CARD | Wildflowers | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1329750748),rsvp/wildflowers/with,2022-12-1508:35,2023-03-1006:27,3,51,9%,5,0.10,13,10
727,THANK YOU | Bear | Thank You Cards | Mountain Destination Wedding | Wedding Gift Thank You Cards | Thank You Cards Wedding (1344500709),PS/tyc/bear,2022-12-0110:47,2023-03-1106:55,4,50,29%,5,0.10,13,10
734,THANK YOU | Burgundy Watercolour | Thank You Card | Personalized Thank You Cards Wedding | Wedding Thank You Cards | Thank You Cards Wedding (1330510292),PS/tyc/burgundywater,2022-12-0110:55,2023-03-1106:21,5,50,29%,5,0.10,13,10
484,Proposal Card | Will You Help Me With My Wedding Flowers | Wedding Cards | Custom Wedding Card | Wedding Cards (1337296461),WHITE,2022-11-1512:20,2023-03-0111:56,5,60,29%,6,0.10,13,10
690,Thank You Cards | Thank You For Being By My Side | Wedding Cards | Custom Wedding Card | Wedding Cards (1337299667),WHITE + WS,2022-11-1512:13,2023-03-0112:00,5,60,29%,6,0.10,13,10
28,"BAR MENU | Blue Details | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Modern Wedding Bar Menu (1331138635)",GOLD FOIL,2022-11-1516:35,2023-02-2305:09,3,69,29%,7,0.10,13,10
33,"BAR MENU | Bouquet | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Signature Drinks (1331135723)",PRINT,2022-11-1516:57,2023-02-2304:57,3,69,29%,7,0.10,13,10
36,"BAR MENU | Burst | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Signature Drinks (1317162696)",PRINT,2022-11-1516:35,2023-02-2304:52,3,69,29%,7,0.10,13,10
40,"BAR MENU | Daffodils | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1331133929)",PRINT,2022-11-1516:19,2023-02-2304:50,3,69,29%,7,0.10,13,10
45,"BAR MENU | Gypsophila | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1317167952)",COPPER FOIL,2022-11-1516:30,2023-02-2305:14,3,69,29%,7,0.10,13,10
55,"BAR MENU | Pine | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1331138097)",PRINT,2022-11-1516:45,2023-02-2305:07,3,69,29%,7,0.10,13,10
56,"BAR MENU | Pink Lace | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1331138211)",PRINT,2022-11-1516:28,2023-02-2305:08,3,69,29%,7,0.10,13,10
59,"BAR MENU | Rustic Floral | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1317166298)",SILVER FOIL,2022-11-1516:46,2023-02-2305:06,3,69,29%,7,0.10,13,10
67,"BAR MENU | Wildflowers | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1317167214)",PRINT,2022-11-1516:32,2023-02-2305:11,3,69,29%,7,0.10,13,10
264,Funny Wedding Card | I Hope You Have A Shit Time Without Me On Your Wedding Day | Congratulations Card | Custom Wedding Card | Wedding Cards (1337857963),WHITE,2022-11-1510:46,2023-03-0205:52,5,59,29%,6,0.10,13,10
691,Thank You Cards | Thank You For Being My Best Person | Wedding Cards | Custom Wedding Card | Wedding Cards (1337852203),WHITE,2022-11-1511:42,2023-03-0205:36,5,59,29%,6,0.10,13,10
702,Thank You Cards | Thank You For Everything | Wedding Cards | Custom Wedding Card | Wedding Cards (1323871040),WHITE,2022-11-1512:14,2023-03-0205:13,5,59,29%,6,0.10,13,10
715,Thank You Cards | Thank You Reverend | Wedding Cards | Custom Wedding Card | Wedding Cards (1323878424),WHITE,2022-11-1510:26,2023-03-0205:34,5,59,29%,6,0.10,13,10
719,Thank You Cards | Will You Be My Best Person | Wedding Cards | Custom Wedding Card | Wedding Cards (1323879468),WHITE,2022-11-1511:53,2023-03-0205:37,5,59,29%,6,0.10,13,10
722,Thank You Cards | You Are The Best Photographer Ever | Wedding Cards | Custom Wedding Card | Wedding Cards (1323883598),WHITE,2022-12-0719:35,2023-04-0718:35,5,59,29%,6,0.10,13,10
725,Thank You Cards | You Are The Best Wedding Planner Ever | Wedding Cards | Custom Wedding Card | Wedding Cards (1337856837),WHITE,2022-11-1511:06,2023-03-0205:49,5,59,29%,6,0.10,13,10
216,Foiled Save The Date | Engagement Shoot | Save The Date Template With Photo | Save The Date Cards | Wedding Save The Dates | Save The Date (1311250500),FSD/Engagement Shoot,2022-12-0607:33,2023-02-1413:51,5,78,29%,8,0.10,13,10
224,Foiled Save The Date | Greenery | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1325217003),FSD/Greenery,2022-12-0608:04,2023-02-1413:23,5,78,29%,8,0.10,13,10
233,Foiled Save The Date | Pink Lace | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1311253030),FSD/Pink Lace,2022-12-0607:44,2023-02-1413:54,5,78,29%,8,0.10,13,10
237,Foiled Save The Date | Simple Heart | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1311253726),FSD/Simple Heart,2022-12-0607:35,2023-02-1413:55,5,78,29%,8,0.10,13,10
238,Foiled Save The Date | Simplistic | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1325218775),FSD/Simplistic,2022-12-0608:08,2023-02-1413:26,5,78,29%,8,0.10,13,10
956,Wedding Itinerary | Beach Wedding (851796942),PSpamph/beach,2022-12-0111:16,2023-01-1012:00,2,848,29%,87,0.10,13,10
597,Seating Chart Cards | Blue Mountain | mountain wedding (1298337408),RM 1st Class,2022-12-0710:22,2023-01-2505:15,3,97,29%,10,0.10,13,10
612,Seating Chart Cards | Gold Confetti | Fall Wedding (1298333590),RM 1st Class,2022-12-0710:22,2023-01-2504:57,2,97,29%,10,0.10,13,10
615,Seating Chart Cards | Kraft Lights | Rustic Wedding | Table Seating Chart Cards | Alphabetical Seating Chart Cards (1312366963),RM 1st Class,2022-12-0710:22,2023-01-2505:17,3,97,29%,10,0.10,13,10
624,Seating Chart Cards | Pink Details | Dusty Rose Wedding (1298333372),RM 1st Class,2022-12-0710:22,2023-01-2504:56,3,97,29%,10,0.10,13,10
639,Seating Chart Cards | Whimsical | Wedding Decor (1298330556),RM 1st Class,2022-12-0710:22,2023-01-2504:43,2,97,29%,10,0.10,13,10
1050,"WELCOME SIGN | Daffodils | Spring Wedding, Wedding Welcome Sign Boho, Welcome Sign Unplugged Ceremony, 5th Birthday Welcome Sign (1318487174)",A4 CARD,2022-12-0710:22,2023-02-2505:11,3,67,29%,7,0.10,13,10
1067,"WELCOME SIGN | Rose Garden | Summer Wedding, Welcome To Our Wedding Sign, Welcome Sign Christian, Modern Initials Wedding Welcome Sign (1332466311)",A4 CARD,2022-12-0710:22,2023-02-2505:17,3,67,29%,7,0.10,13,10
1070,"WELCOME SIGN | Succulents | Desert Wedding, Fiesta Bridal Welcome Sign, Welcome Sign Christmas In July, Colorful Welcome Sign (1332472491)",A1 BOARD,2022-12-0710:22,2023-02-2505:34,3,67,29%,7,0.10,13,10
978,Wedding Itinerary | Winter Wedding (851803654),pamp/winter,2022-12-0111:11,2023-01-1012:10,2,848,29%,90,0.11,13,10
